ShelfID,ZoneID,ADR_ID
100102,B6_OHB01-ZONE02,14029
100202,B6_OHB01-ZONE02,14030
200202,B6_OHB01-ZONE02,14030
200602,B6_OHB01-ZONE02,14034
100602,B6_OHB01-ZONE02,14034
100802,B6_OHB01-ZONE02,14036
200802,B6_OHB01-ZONE02,14036
104002,B6_OHB01-ZONE02,99999
103902,B6_OHB01-ZONE02,99999
103802,B6_OHB01-ZONE02,99999
103702,B6_OHB01-ZONE02,99999
103602,B6_OHB01-ZONE02,99999
103502,B6_OHB01-ZONE02,99999
103402,B6_OHB01-ZONE02,99999
103302,B6_OHB01-ZONE02,99999
202002,B6_OHB01-ZONE02,99999
202402,B6_OHB01-ZONE02,99999
202302,B6_OHB01-ZONE02,99999
202202,B6_OHB01-ZONE02,99999
202102,B6_OHB01-ZONE02,99999
103202,B6_OHB01-ZONE02,99999
103102,B6_OHB01-ZONE02,99999
103002,B6_OHB01-ZONE02,99999
102902,B6_OHB01-ZONE02,99999
102802,B6_OHB01-ZONE02,99999
102702,B6_OHB01-ZONE02,99999
102602,B6_OHB01-ZONE02,99999
102502,B6_OHB01-ZONE02,99999
102402,B6_OHB01-ZONE02,99999
102302,B6_OHB01-ZONE02,99999
102202,B6_OHB01-ZONE02,99999
102102,B6_OHB01-ZONE02,99999
102002,B6_OHB01-ZONE02,99999
101902,B6_OHB01-ZONE02,99999
101802,B6_OHB01-ZONE02,99999
101702,B6_OHB01-ZONE02,99999
204002,B6_OHB01-ZONE02,99999
203902,B6_OHB01-ZONE02,99999
203802,B6_OHB01-ZONE02,99999
203702,B6_OHB01-ZONE02,99999
203602,B6_OHB01-ZONE02,99999
203502,B6_OHB01-ZONE02,99999
203402,B6_OHB01-ZONE02,99999
203302,B6_OHB01-ZONE02,99999
203202,B6_OHB01-ZONE02,99999
203102,B6_OHB01-ZONE02,99999
203002,B6_OHB01-ZONE02,99999
202902,B6_OHB01-ZONE02,99999
202802,B6_OHB01-ZONE02,99999
202702,B6_OHB01-ZONE02,99999
202602,B6_OHB01-ZONE02,99999
202502,B6_OHB01-ZONE02,99999
100803,B6_OHB01-ZONE03,99999
100703,B6_OHB01-ZONE03,99999
100603,B6_OHB01-ZONE03,99999
100503,B6_OHB01-ZONE03,99999
100203,B6_OHB01-ZONE03,99999
100103,B6_OHB01-ZONE03,99999
100403,B6_OHB01-ZONE03,99999
100303,B6_OHB01-ZONE03,99999
101003,B6_OHB01-ZONE03,99999
100903,B6_OHB01-ZONE03,99999
201003,B6_OHB01-ZONE03,99999
200903,B6_OHB01-ZONE03,99999
200803,B6_OHB01-ZONE03,99999
200703,B6_OHB01-ZONE03,99999
200603,B6_OHB01-ZONE03,99999
200503,B6_OHB01-ZONE03,99999
200203,B6_OHB01-ZONE03,99999
200103,B6_OHB01-ZONE03,99999
200403,B6_OHB01-ZONE03,99999
200303,B6_OHB01-ZONE03,99999
103303,B6_OHB01-ZONE04,99999
103403,B6_OHB01-ZONE04,99999
103503,B6_OHB01-ZONE04,99999
103603,B6_OHB01-ZONE04,99999
103703,B6_OHB01-ZONE04,99999
103803,B6_OHB01-ZONE04,99999
103903,B6_OHB01-ZONE04,99999
104003,B6_OHB01-ZONE04,99999
201203,B6_OHB01-ZONE04,99999
201103,B6_OHB01-ZONE04,99999
201503,B6_OHB01-ZONE04,99999
201603,B6_OHB01-ZONE04,99999
201403,B6_OHB01-ZONE04,99999
201303,B6_OHB01-ZONE04,99999
202103,B6_OHB01-ZONE04,99999
202203,B6_OHB01-ZONE04,99999
202303,B6_OHB01-ZONE04,99999
202403,B6_OHB01-ZONE04,99999
202003,B6_OHB01-ZONE04,99999
201903,B6_OHB01-ZONE04,99999
201803,B6_OHB01-ZONE04,99999
201703,B6_OHB01-ZONE04,99999
101203,B6_OHB01-ZONE04,99999
101103,B6_OHB01-ZONE04,99999
101503,B6_OHB01-ZONE04,99999
101603,B6_OHB01-ZONE04,99999
101403,B6_OHB01-ZONE04,99999
101303,B6_OHB01-ZONE04,99999
101703,B6_OHB01-ZONE04,99999
101803,B6_OHB01-ZONE04,99999
101903,B6_OHB01-ZONE04,99999
