ALID,ALCD,ALED,ALTX,CEIDSet,CEIDClear,AlarmLevel,AGVAlarmCode
601461,2,80,,1601461,2601461,0,200303
601462,2,80,,1601462,2601462,0,200304
601463,2,80,,1601463,2601463,0,200305
601464,2,80,,1601464,2601464,0,200306
601465,2,80,,1601465,2601465,0,200307
601466,2,80,,1601466,2601466,0,200308
601467,2,80,,1601467,2601467,0,200309
601468,2,80,,1601468,2601468,0,200310
601469,2,80,,1601469,2601469,0,200311
601470,2,80,,1601470,2601470,0,200312
601471,2,80,,1601471,2601471,0,200313
601472,2,80,,1601472,2601472,0,200314
601473,2,80,,1601473,2601473,0,200315
601474,2,80,,1601474,2601474,0,200316
601475,2,80,,1601475,2601475,0,200317
601476,2,80,,1601476,2601476,0,200318
601477,2,80,,1601477,2601477,0,200319
601478,2,80,,1601478,2601478,0,200320
601479,2,80,,1601479,2601479,0,200321
601480,2,80,,1601480,2601480,0,200322
601481,2,80,,1601481,2601481,0,200323
601482,2,80,,1601482,2601482,0,200324
601483,2,80,,1601483,2601483,0,200325
601484,2,80,,1601484,2601484,0,200326
601485,2,80,,1601485,2601485,0,200327
601486,2,80,,1601486,2601486,0,200328
601487,2,80,,1601487,2601487,0,200329
601488,2,80,,1601488,2601488,0,200330
601489,2,80,,1601489,2601489,0,200331
601490,2,80,,1601490,2601490,0,200332
601491,2,80,,1601491,2601491,0,200333
601492,2,80,,1601492,2601492,0,200334
601493,2,80,,1601493,2601493,0,200335
601494,2,80,,1601494,2601494,0,200336
601495,2,80,,1601495,2601495,0,200337
601496,2,80,,1601496,2601496,0,200338
601497,2,80,,1601497,2601497,0,200339
601498,2,80,,1601498,2601498,0,200340
601499,2,80,,1601499,2601499,0,200341
601500,2,80,,1601500,2601500,0,200342
601501,2,80,,1601501,2601501,0,200343
601502,2,80,,1601502,2601502,0,200344
601503,2,80,,1601503,2601503,0,200345
601504,2,80,,1601504,2601504,0,200346
601505,2,80,,1601505,2601505,0,200347
601506,2,80,,1601506,2601506,0,200348
601507,2,80,,1601507,2601507,0,200349
601508,2,80,,1601508,2601508,0,200350
601509,2,80,,1601509,2601509,0,200351
601510,2,80,,1601510,2601510,0,200352
601511,2,80,,1601511,2601511,0,200353
601512,2,80,,1601512,2601512,0,200354
601513,2,80,,1601513,2601513,0,200355
601514,2,80,,1601514,2601514,0,200356
601515,2,80,,1601515,2601515,0,200357
601516,2,80,,1601516,2601516,0,200358
601517,2,80,,1601517,2601517,0,200359
601518,2,80,,1601518,2601518,0,200360
601519,2,80,,1601519,2601519,0,200361
601520,2,80,,1601520,2601520,0,200362
601521,2,80,,1601521,2601521,0,200363
601522,2,80,,1601522,2601522,0,200364
601523,2,80,,1601523,2601523,0,200365
601524,2,80,,1601524,2601524,0,200366
601525,2,80,,1601525,2601525,0,200367
601526,2,80,,1601526,2601526,0,200368
601527,2,80,,1601527,2601527,0,200369
601528,2,80,,1601528,2601528,0,200370
601529,2,80,,1601529,2601529,0,200371
601530,2,80,,1601530,2601530,0,200372
601531,2,80,,1601531,2601531,0,200373
601532,2,80,,1601532,2601532,0,200374
601533,2,80,,1601533,2601533,0,200375
601534,2,80,,1601534,2601534,0,200376
601535,2,80,,1601535,2601535,0,200377
601536,2,80,,1601536,2601536,0,200378
601537,2,80,,1601537,2601537,0,200379
601538,2,80,,1601538,2601538,0,200380
601539,2,80,,1601539,2601539,0,200381
601540,2,80,,1601540,2601540,0,200382
601541,2,80,,1601541,2601541,0,200383
601542,2,80,,1601542,2601542,0,200384
601543,2,80,,1601543,2601543,0,200385
